No,text,score_ideal,
54,rt the team that made a reality. here's to more social shopping days.,1,
55,kids sports watches from rs.170 flipkart,0,
56,rt  thank you very much,1,
57,rt invite your friends for the  vouchers to be won!,1,
58,no decision yet on flipkart -,-1,
59,rt let's hear more from,0,
60,flipkart adds social layer to its mobile app with ping - ndtv,1,
64,do you have an invite for flipkart’s ping? please send me one.,0,
65,rt  join the  &amp; stand a chance to win 2  voucher…,1,
67,experimenting around social shopping..and hence a stand-alone app?,0,
68,"(flipkart adds social layer to its mobile app with ping)the social shopping feature has...",1,
69,rt flipkart ping announced. a social network on top of the flipkart app. let's you share products with anyone and chat.,1,
70,flipkart ping brings social networking into online shopping -...,1,
72,flipkart adds social layer to its mobile app with ping,1,
73,thanks a lot rohit!,1,
75,and when are you declaring the flipkart voucher winners?,0,
76,"rt in 4 yrs,",0,
77,play  win  vouchers,1,
101,"rt \india is leading the mobile revolution in the world &amp; mobile is no more just a choice\\ -""",1,
157,toys jcb earth mover is selling cheaper by 2% at inr 84 today,1,
158,"with ping, flipkart brings social networking to app",1,
160,"flipkart blends social with shopping, launches ping for messaging",1,
161,"rt snapdealamazon myntra flipkart yepme rupee promises everything is available on huge discounts.",0,
162,hey! do you have an invite for ping by flipkart? please send me,0,
163,"flipkart announces ping, a social network that lets friends shop together news, news - india today",1,
166,buy camphoor lamp,0,
167,rt ready for some fun? for the image &amp; you can win rs.2500 flipkart vouchers!,1,
169,earn  and  vouchers for answering surveys   on join at,1,
170,"with ping, flipkart brings social networking to new e-commerce major flipkart today said it is foc...",1,
174,flipkart puts a hold on plans to go app-only » nextbigwhat,-1,
175,"no decision yet on 'app-only', says flipkart.",-1,
176,flipkart’s ravi vora steps down as ceo of strategic brands,-1,
178,waiting for an invite to check how it works !!,0,
180,"shreya ghoshal, shreyaghoshal   -&gt; discover flipkart offers, coupon codes at",0,
181,"'gratitude', 'seatbelt', 'humbling' &amp; 'bangaluru'   -&gt; discover flipkart offers, coupon codes at",0,
287,dear  do you expect me to verify my phone no. every 30 days?,-1,
288,rt flipkart launches ping. now shop with your friends,1,
289,"flipkart, snapdeal, amazon, others dole out incentives to sellers",1,
290,"rt flipkart loses rs 2.20 for a re earned, amazon loses rs1.90 and snapdeal rs 1.70.total losses flipkart rs 5440cr,snapdeal 53…",-1,
292,all flipkart promise not fullfilled and they still have my products and money as well.seller's stop working with them.,-1,
293,whatsapp ... what else.... here comes the ping... lol... shop chat... rockzzz,0,
294,my new shoes &amp; bata sandals(same as the one which i lost in goa) ordered from flipkart &amp; got,0,
295,"how can you be so indifferent with those who are not your fkrt 1st customers.this is pathetic behaviour.",-1,
296,here comes   ping,0,
297,... what else.... here comes the ping... lol... shop chat... rockzzz,0,
298,earn  and         vouchers for answering surveys on join at,1,
299,flipkart goes social; now chat with your friends when you shop.,1,
301,at best price,1,
303,online shopping goes social with flipkart’s ping – times of india,1,
309,rt  is bridging gap between &amp; one step at a time by,1,
313,mentoring the 'i' discipline (english) 1st edition (paperback) is selling cheaper at inr 164 today,1,
315,"od303332734471861100was out 4 few days n servant received the product on my behalf..",0,
317,this is something interesting keep it on guys ...  is innovating,1,
319,what does oder on hold means? when will my ordier with order id order  od303683387431286500 be delivered?,0,
325,earn  and  vouchers        for answering surveys on join at,1,
329,flipkart ping let’s users chat while they shop,1,
330,rt  join the  &amp; stand a chance to win 2  vouchers!,1,
336,rt with 4g for multi-player gaming. available on flipkart. http…,1,
340,expect large e-commerce firms across globe to follow flipkart,1,
344,guess which book i ordered from  right now?,0,
353,why dumped only policy?,0,
354,earn  and  vouchers for        answering surveys on join at,1,
355,rt wait list at 50k and climbing!!,1,
356,"rt screengrab replacing links. leveraging contacts. social proof, we-know--you-better-coz-we…",0,
357,online shopping goes social with flipkart,1,
358,back from dead inside the subhas bose mystery is selling cheaper at inr 295 today,1,
360,rt 40k waitlist and going!!! ping is exploding on flipkart!,1,
363,t400 wireless optical mouse mouse is selling cheaper at inr 899 today,1,
364,creature iii speaker is selling cheaper at inr 2999 today,1,
365,"flipkart launches 'ping', a brand new social collaborative shopping experience on its mobile app",1,
367,download best 4 mre offers on,1,
370,"flipkart launches a fun, social way to shop with friends on flipkart",1,
374,rt all right  dev team has some some amazing stuff with  lightening fast data transfers and les…,1,
375,smashwords and flipkart to end distribution relationship - amazon scores victory,-1,
376,earn  and  vouchers for answering        surveys on join at,1,
379,is this a good choice for nexus 5 charging cable? please suggest if any better options,0,
383,"rt five  egv, five winners for a new rt if you're excited and ready for win?  w…",1,
384,rt flipkart ping is probably one of the first game changing innovation coming from an indian tech startup.,1,
386,"join ama - i'm amod malviya, former cto, flipkart . ask me anything! on",1,
387,5 amazing flipkart vouchers for our,1,
388,"i had offer of 80% off on flipcover while ordering samsung j7, now offer has been modified by u to 40%",-1,
389,head of learning at flipkart. now that's an interesting role in an e-commerce organization. any idea of da role sir?,1,
390,focussed on mobility; no timeline to go flipkart -,-1,
391,i orderded a mouse yesterday for 655rs. and u'r selling it now at 599.. do cancel my old order and confirm my new,0,
392,e560 multi-function inkjet printer is selling cheaper at inr 5698 today,1,
394,"hey folks, why is it, hard to find your email address on your webpage, need to check something on our recent delivery. plz reply",-1,
395,hey can you please invite me to the flipkart ping!,0,
397,flipkart launches ‘ping’- a new ‘social shopping’ experience on the flipkart app,1,
408,launches ‘ping’- a new ‘social shopping’ experience on the flipkart app,1,
409,"just bought glucometer strips. wins over , and even what…",1,
410,awesome move!!! wants to make mobile shopping a more social experience…,1,
411,flipkart what is wrong with you people?!,-1,
412,latest update of make new n innovative but they forgot to solve the al…,-1,
413,at best price …,1,
415,... what else.... here comes the ping... lol... shop chat.…,0,
416,this is something interesting keep it on guys ... flipkart is inn…,1,
417,why dumped only policy? …,0,
421,adds social layer to its with,1,
422,"pricetrak eurekaforbes pathetic brand, neither buy it nor sell it",-1,
423,at best price ever offers here,1,
425,launches ‘ping’- a new ‘social shopping’ experience on the flipkart app …,1,
426,latest mobiles phone with price via,1,
427,"yes, time is not ripe to go for app only model for companies like flipkart",-1,
430,"rt  from last 16 days (from 7th aug) i m waiting for my order to get delivered.when the delivery date given by you …",-1,
431,"rt  please change your tagline fromab har wish hogi puritoab har wish rahegi adhuribecause you don't care abt y…",-1,
432,"rt  i think on 7th aug 2015, i made a big mistake by placing an order during your freedom sale.",-1,
438,flipkart ping brings social networking into online,1,
441,rt tiwariamit784 rt focused on but no timeline to go flipk…,-1,
443,"-&gt; discover flipkart offers, coupon codes at",1,
444,sorry for trolling. love you flipkart. your delivery service is also very fast like your assistance service,1,
445,hey flipkart i am buying laptop tommorow ! any discount from any specific card or using app ? let me know fast,0,
446,"rt the contest continues! here’s our next task. shoot, share &amp;win a dslr, cool cams &amp; selfie sticks!",1,
447,rt adds social layer to its with,1,
450,flipkart working to gain mastery over artificial co-founder sachin bansal,1,
451,"hi!! i was just telling  that they uses the same kind of invites for their ping.. cheers",0,
452,u need sum1 frm ur ecom team to guide u..ur mentioning snapdeal n pasting link of flipkart...may b  can help.,-1,
453,flipkart moto g 3rd gen. offers &amp; coupons august 2015,1,
454,\flipkart is bridging the gap between e-commerce and commerce,1,
455,"rt shopping was never so easy! shop anytime, anywhere on the flipkart mobile app!",1,
456,if u want to buy a new smart phone buy it now at,0,
457,"buy j7(gold, 16  at",0,
458,earn          and  vouchers for answering surveys on join at,1,
459,audio technica ath-m40x over-the-ear headphones is selling cheaper at inr 6141 today,1,
460,pkss 1.2 1.2 electric kettle is selling cheaper at inr 1164 today,1,
461,retweet_count,0,
740,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt please""",1,
741,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt p…\""""",1,
742,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt plea…\""""",1,
743,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt pleas…\""""",1,
744,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt pl…\""""",1,
747,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt please …\""""",1,
748,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt ple…\""""",1,
751,rt wow!  is the world's 2nd largest bookseller and only indian in the top 10,1,
753,etretail | focussed on mobility but no timeline to go flipkart,-1,
754,do you have an invite for please send me one.,0,
755,earn  and  vouchers for answering surveys on         join at,1,
758,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt please…\""""",1,
759,cooler master nse-300-kkn2 mid tower cabinet is selling cheaper at inr 3694 today,1,
764,top 10 online bookstores in the world.,1,
765,rt flipkart introduces chat feature on app with ping,1,
766,"flipkart to hire 12,000 people this year to expand operations -",1,
767,buy flipkart gv worth rs 4000 and get gv of rs 250 at flipkart app,1,
768,this is a re-verification campaign to increase the security of your flipkart account.,1,
769,latest script to buy lenovo k3 note in flipkart flash sale - sriraman,0,
771,flipkart app now allows you to have real-time chat with flipkart has introduced a new in-app feature ...,1,
773,denim musk deodorant roll-on  -  for men is selling cheaper at inr 215 today,1,
774,rt conquer gaming. samsung with 4g for multi-player gaming.now available on flipkart. …,1,
775,eta0u80ibeginu battery charger is selling cheaper at inr 138 today,1,
777,online retail company flipkart launches in-app chat feature called ping today,1,
786,earn  and  vouchers for answering surveys on join         at,1,
799,expect large e-commerce firms across globe to follow flipkart - business standard,1,
800,american tourister zing 08 laptop backpack is selling cheaper at inr 1387 today,1,
802,online shopping goes social with flipkart's ping -,1,
813,standard hdmi a-a hdmi cable is selling cheaper at inr 395 today,1,
815,really happy to see ping launch congrats to the team,1,
817,shopping goes social with flipkart's would you like to take your friends along when you go online shoppi...,1,
818,yes these are the flipkart product listing ads .. they are creating new ad formats to promote merchant sales,1,
819,"this is the reason why  is leader and shopping app   great job",1,
820,"i ask to you 1question to all flipkart senior why your delivery boy &amp; people doing such gunda giri with me.",-1,
821,"hi flipkart,today i have receive sms for product delivery but courier boy not deliver my product yet.hence",-1,
823,ping is good! when r u making the noise?,1,
824,flipkart moto g 3rd gen. offers &amp; coupons august flipkart moto g 3rd gen. coupons &amp; offers flipkart surp...,1,
827,rt smashwords and flipkart to end distribution relationship - amazon scores victory,-1,
828,"flying fafda monster, slyandsulk   -&gt; discover flipkart offers, coupon codes at",0,
829,premdeep_jagdev rt .flipkart is bridging gap between &amp;,1,
831,galaxy tab 4 t331 tablet is selling cheaper at inr 19800 today,1,
832,v 240 gb ssd internal hard drive is selling cheaper at inr 8900 today,1,
833,my main fault is that place order on flipkart. flipkart is a very pathetic service provider .,-1,
834,smashwords and flipkart to end distribution relationship - amazon scores victory  via,-1,
835,"true appgreat job",1,
837,draco design bumper case for iphone 5 5s is selling cheaper at inr 2999 today,1,
838,rt some insights about  which has been rated no1 shopping app on android and ios.,1,
839,power-level 1 resistance tube is selling cheaper by 8% at inr 1695 today,1,
840,rt flipkart says 41% of indian e-commerce happens on mobile. 70% of flipkart's 50 million users shop on flipkart's app,1,
842,sling urban photo 250  camera bag is selling cheaper at inr 3499 today,1,
843,"i ask to you one question to all flipkart senior why your delivery boy &amp; people doing such gunda giri with me.",-1,
844,overall i want to say only courier people are running not the owner of flipkart.,-1,
846,"rt .  ,  ,  , peeyush ranjan shopping together on for a watch.",0,
847,the prophet (english) is selling cheaper at inr 60 today,1,
848,earn           and  vouchers for answering surveys on join at,1,
849,"hi friend, can you please give me an invite to ?",0,
850,india's ecommerce giant flipkart introduces social network feature - memeburn,1,
852,v 4 v 4 headset with mic 9008 wired gaming headset is selling cheaper at inr 210 today,1,
853,introduction to management science operations research is selling cheaper at inr 531 today,1,
854,"on page of metal gear solid legacy collection, its having description of bioshock game.",1,
856,"hey, check out ping! now shop with friends on flipkart invite link",1,
858,rt drag. drop. share. 3 easy steps to social shopping with,1,
859,glares by titan wayfarer sunglasses is selling cheaper by 2% at inr 2385 today,1,
860,flipkart’s ‘ping’ aims towards bringing the joy of shopping with friends &amp; family back!,1,
862,xbox 360 4 gb kinect with kinect adventures is selling cheaper at inr 24990 today,1,
863,"cauet officiel, cauetofficiel   -&gt; discover flipkart offers, coupon codes at",1,
864,"'curfew', 'indulge', 'lathicharge' &amp; 'sarabjit'   -&gt; discover flipkart offers, coupon codes at",1,
865,"hey, check out ping! now shop with friends on flipkart",1,
866,thanks for working on my revolutionary idea .....whomp,1,
867,lumia 1520 is selling cheaper at inr 35999 today,1,
868,smart tab 8 tablet is selling cheaper at inr 5880 today,1,
869,"it's really, really hard to make software to power an online ebook retailer - even when you have millions to spend",0,
870,earn  and           vouchers for answering surveys on join at,1,
871,thanks for working on my idea ...thanks flipkart,1,
872,rt flipkart is about to launch something new &amp; social. stay tuned for more or tell us what it could be!,0,
873,free rs. 250 flipkart voucher. get flipkart 250 gv on 4000 rs. gv. valid only on apps,1,
876,new ping feature wants to make shopping more social,1,
877,"rt interesting!41% of online shopping comes from mobile, and india leads the system.",1,
878,flipkart did acquire appiterate...,0,
879,rt  ping overview in one pic,0,
880,use this invite.,0,
881,earn  and  vouchers          for answering surveys on join at,1,
882,"rt lights...camera...do the 2 vouchers, gym memberships &amp; goody bags!",1,
883,on  by ari2626 good-e-tailer -,0,
885,please raise a return request online by logging in to your flipkart account. we'll sort it.,0,
1311,"rt advice on people management, when you taught at the cost of",-1,
1312,not good  !!,-1,
1313,flipkart wants to make online shopping social with ping,1,
1314,rt flipkart brings ‘ping’ for real time conversation,1,
1352,the first feature which requires mobile app only. flipkart launches ping.,1,
1353,flipkart keeps app plan on hold to assess how it will impact sales in big-ticket -,0,
1355,"rt when i grew up in india, our family had a \ration card\\. now my parents use flipkart. dizzying change in last 25 years""",0,
1356,is india number 1,1,
1359,i want to send you the screenshot in dm of flipkart invoice wherein they mention seller address. why can't you.,-1,
1361,i have shared it but i am not getting any help.,-1,
1364,india’s ecommerce giant flipkart introduces social network feature,1,
1366,flipkart launches new in-app feature that lets you ask friends what to buy in ...,1,
1367,seriously they should return money immediately if a person cancel the order! it takes 8 days why?,-1,
1369,"'bandh'   -&gt; discover flipkart offers, coupon codes at",1,
1372,rt how aims to redefine through ping,1,
1373,"flipkart launches new feature 'ping'social commerce can be a useful extension for",1,
1374,"rt &amp; executives join hands with an angel to float a new platform for used cars, spinny v…",1,
1375,"telemarket for me by call online sellers from snapdeal,flipkart,ebay, amazon.in and get them registered…",0,
1376,"telemarket for me by call online sellers from snapdeal,flipkart,ebay, amazon.in and get…",0,
1377,"telemarket for me by call online sellers from snapdeal,flipkart,ebay, amazon.in…",0,
1379,"pantaloons, amazon, snapdeal, jabong and flipkart sale over....nse bse sale started ..flat 20% off on all shares",-1,
1380,no long-term in or just in a fast cannibal,0,
1381,rt  wants to be your next social network because shopping all by yourself is boring,0,
1382,"deals of the day price says rs.549, when i click it said 999rs. now its saying 790rs. within 30 seconds.. solve these issues..",-1,
1384,"why top executives are leaving startups like flipkart, snapdeal, ola",-1,
1385,an attacker called love price in india - an attacker called love online at have a look at it!,0,
1386,"the number game ys making sense of flipkart’s and snapdeal’s valuations through their gmv via",0,
1387,"call online sellers from snapdeal,flipkart,ebay, amazon.in and get them registered to sell their products on vyoms…",0,
1389,early-stage boom may hit follow-on rounds,1,
1390,seems to be taking the lead in some stuff for way to go..,1,
1391,now why would flipkart name its social network ping when there's already a failed social network with the same name,-1,
1392,"ws retail still selling at 549.. when clicking buy now, it redirects me to cart.. but then shows \no item on cart\\\""""",-1,
1393,"telemarket for me  by vyomshop call online sellers from snapdeal,flipkart,ebay, amazon.in and get them registered …",0,
1394,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - the economic times",-1,
1396,"just a little finishing touches needed, but the k3 note is almost ready for today's sale on",1,
1397,hey hi guys can i have an invite for the same...,0,
1398,ddr3 4 gb(1 x 4gb) pc ram (cmv4gx3m1a1600c11) is selling cheaper at inr 1709 today,1,
1399,"rt just a little finishing touches needed, but the k3 note is almost ready for today's sale on",1,
1400,this type of cheating not expected from   for info to,-1,
1402,samsung galaxy j5 and j7 starting at rs.11999 exciting offers- sale at flipkart !,1,
1403,samsung galaxy j5 and j7 starting at rs.11999 exciting offers- sale at flipkart !,1,
1404,"rt pantaloons, amazon, snapdeal, jabong and flipkart sale over....nse bse sale started ..flat 20% wa",-1,
1405,"and executives join hands with an angel to float for used cars, via",1,
1406,travel blue luxury eye mask eye shade is selling cheaper at inr 224 today,1,
1407,"rt and executives join hands with an angel to float for used cars, …",1,
1410,mock test paper for,0,
1411,flat 50% off on home sofas- big sale at flipkart !,1,
1412,tried flipkart's ping. good product. but i doubt it will see adaptation. too many features confuse the users and they may get overwhelmed,-1,
1413,"hey  where would v find d pics of launch event of ping held at f baar, new delhi yesterday?",0,
1414,"rt the number game ys making sense of flipkart’s and snapdeal’s valuations through their gmv vi…",0,
1415,"- buy flipkart gv worth rs 4000 and get gv of rs 250 at flipkart app -- flipkart -- rs. 3750.0 -- gifting, stationery &amp; office…",1,
1419,etcio | how flipkart’s ping aims to redefine e-commerce through the messenger,1,
1420,"etbrandequity | flipkart's up for a chat, introduces ping messenger for mobile app",1,
1421,flipkart app gets an add-on chat ping,1,
1423,rt flipkart app gets an add-on chat ping,1,
1424,"rt shopping now is very isolated experience,   is bringing new product called  where u can do soc…",-1,
1425,where is my flipkart voucher that i won. hope u are not cheating on twitter,-1,
1426,you guys sell shit! sell defective phones over  !,-1,
1428,thanks flipkart  for spoiling the rakhi festival! you took 8 days to revert on the order,-1,
1429,an year back i wrote about coshopping in mobile now flipkart has implemented it with ping,1,
1431,"rt the number game ys making sense of flipkart’s and snapdeal’s valuations through their gmv v…",0,
1432,why are you telling us on 26th when the rakhi is just two days away!,-1,
1433,"flipkart launches new feature 'ping' -via inshorts",1,
1435,very interesting and innovative thing by flipkart no need to leave app to discuss any products with friends. cool..,1,
1436,"now \ping\\ your friends before buying""",0,
1437,flipkart e-gift vouchers rs.250 free on rs. 4000 (on app),1,
1438,kaspersky internet security - multi-device is selling cheaper at inr 1399 today,1,
1440,wd 1 tb black desktop internal hard drive (wd1002faex) is selling cheaper at inr 6025 today,1,
1441,"rt the number game ys making sense of flipkart’s and snapdeal’s valuat…",0,
1442,unite 2 a106 (8 gb) is selling cheaper at inr 5830 today,1,
1443,any idea when   and  are launching in india?,0,
1444,making sense of the valuations done by these companies through their gmv. interesting!,1,
1445,rt  &amp;   on why top executives are leaving high growth startups,-1,
1446,"\shrinking interactions with the founders coupled with decreased influence on impactful decisions\\""1447""",-1,
1448,"why top executives are leaving startups like flipkart, snapdeal, ola &amp;amp;amp; others",-1,
1449,looking for designer build a website for online store by want to create website like flipkart. (budget…,1,
1450,"why top executives are leaving startups like flipkart, snapdeal, ola &amp;amp; others | et retail",-1,
1452,"rt forget baap of all sale - visit",1,
1453,"samsung and in stock on flipkartprice rs 11,999 - 14,999",0,
1454,"yourstoryco rt the number game ys making sense of flipkart’s and sna…",0,
1456,how flipkart’s ping aims to redefine e-commerce through the messenger,1,
1457,thisisecommerce how flipkart’s ping aims to redefine e-commerce through the messenger …,1,
1461,"why top are leaving like flipkart, snapdeal, ola &amp; others",-1,
1463,"rt why top are leaving like flipkart, snapdeal, ola &amp; others",0,
1464,"&lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0,
1472,is it trusty  one,1,
1474,"rt just a little finishing touches needed, but the k3 note is almost ready for today's sale on  are you?",0,
1478,"indrani mukherjea &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0,
1485,"surat &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",,
1486,"hii, we find you you the best deal out of the many online sites like flipkart, snapdeal, amazon, jabong etc",1,
1492,"why top are leaving like flipkart, snapdeal, ola &amp; others …",-1,
1501,"ok is it cash back site?? what are the offers for amazon,flipkart??",0,
1504,"you have a great product, how do you improve on it??  has done just that. great update, app is even better now. looks useful.",1,
1509,"brahmin &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0,
1510,desire 816g (octa core) is selling cheaper at inr 15400 today,1,
1511,"rt &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0,
1512,optimus g (e975) is selling cheaper at inr 18490 today,1,
1513,already?,0,
1514,flipkart buy gift vocher worth rs4000 &amp; get gift vocher of rs250,1,
1516,here's why flipkart has put its app-only plans on hold via,-1,
1517,"rt why top executives are leaving startups like flipkart, snapdeal, ola",-1,
1518,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others",-1,
1520,"hi flipkart. i've got sony bravia on monday, they said itll be installed on wed.still i didnt get any call. kindly help.",-1,
1521,flat 50% off on home sofas- big sale at flipkart !,1,
1522,is not everyone's cup of tea - why top executives are leaving startups,-1,
1523,online shopping goes social with flipkart's ping,1,
1525,"hey, check out ping! - let’s shop together on ping by flipkart.",0,
1531,"bean bag covers flat rs 499 flipkart.buy .flipkart is offering amazing offers on...",1,
1534,on best selling titles minimum 45% off,1,
1535,support system being created by companies like    at workplace is much desired,1,
1538,usb cables minimum 24% off,1,
1539,"i'll opt for the lenovo k3 note coz even though the price is the same,  delivers to shillong while  does not!",0,
1540,footwear for men &amp; women flat 40% off,1,
1541,rt the rocking  product team with the rocking fashion bloggers!,1,
1542,how flipkart's ping aims to redefine e-commerce through the messenger,1,
1543,"sale-india's most affordable 4g smartphone lenovo a2010(black, 8 gb) -  rs. 4,990",1,
1544,a wanna be monopoly when people stopped giving a fuck about long back,-1,
1547,"totes, backpacks &amp; more min. 40% off",1,
1548,f&amp;d w330x wireless speaker is selling cheaper at inr 3790 today,1,
1550,"rt    these guys r fraud, wl nt gv u return in 30days period. they only mentioned i…",-1,
1551,on fiction best-sellers minimum 45% off,1,
2112,"\shrinking interactions with the founders coupled with decreased influence on impactful decisions\\""2113""",-1,
2218,got appreciation for my idea from team for thinking ahead. happy not content,1,
2219,when can i expct a call back. how difficult it is send sum1 to come n pikup the not working device.,-1,
2220,x-box 360 4 gb kinect holiday bundle is selling cheaper at inr 24500 today,1,
2221,thanking u beautiful,1,
2222,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - economic times",-1,
2223,do try this out,0,
2224,thanking u bro,1,
2225,wah!! congrats...,1,
2226,"waitlist for flipkart ping already at over 100k, says punit according to soni, flipkart has 50 million p...",1,
2227,thanking you bro,1,
2228,exclusive...replaced product shoddy finish...no qc once again why do they carry such a shoddy manufacturer,-1,
2229,"'sheena'   -&gt; discover flipkart offers, coupon codes at",0,
2231,rt we have our 1st winner for today!congratulations  enjoy your rs.5k  voucher! ht…,1,
2232,lenovo k3 note black and white variants to go on sale on flipkart today…,1,
2233,flipkart launches ping. now shop with your friends » nextbigwhat,1,
2234,disappointed with service by flipkart jbl t200a,-1,
2235,"rt flipkart launches new feature 'ping' -via inshorts",1,
2236,rt shopping goes social with  ping. will this feature give it an edge over the others?,1,
2237,my  answer to how do i turn off notifications in the flipkart app?,0,
2238,flipkart ping – making online shopping go social again,1,
2239,flipkart 3 order successfully delivered within 2 day,1,
2243,"glocal source apple stainless steel  525 mugads on 99spr",0,
2244,flipkart launches in-app chat feature called ping,1,
2245,"rt 8gb) just rs. 11,999 with 4 more offers –",1,
2246,"rt 32gb, white) just rs. 7,349 on exchange offer –",,
2247,"rt digiflip pro et701 tablet( 8gb, wi-fi) just rs. 3,499 on | go shopping mart",,
2248,flat 50% off,,
2250,"unicorn developers who think survive because of them, may soon realise reality is exactly the opposite",,
2251,"shopping goes social with flipkart ping, dbs bank to soft launch its mobile banking pla...",,
2252,today's 2nd winner is...  congratulations enjoy your rs.5k  voucher!,,
2254,rt today's 2nd winner is...  congratulations enjoy your rs.5k  voucher!,,
2256,congrats deserving,,
2258,wow congrats guy ;-),,
2259,"digiflip pro et701 tablet at rs.3,499  upto 16% from &gt;&gt;",,
2260,ratb-11032cy resistance tube is selling cheaper at inr 1050 today,,
2261,congrats,,
2263,"hii devender singh devendersingh93, want to get iph0ne 6 for free? please go check my bi0. thx",,
2264,"hii storyofpen2013 storyofpen2013, want to get iph0ne 6 for free? please go check my bi0. thx",,
2265,congratulations winners! inbox us your email ids with your id proofs to receive your flipkart vouchers from us.,,
2267,when can we expect the accessories for  canvas xpress 2 in india?,,
2271,sdhc 32 gb 40 class 10 is selling cheaper at inr 935 today,,
2272,xperia m is selling cheaper at inr 1490 today,,
2274,rt latest mobiles phone with price via,,
2275,"starting at rs.42,990",,
2277,congratulations....,,
2279,"hc suggests nikon to withdraw flipkart, snapdeal from caution notice",,
2281,dtn flipkart vs truce lesson for online the conversation around e-commerce marketplaces an...,,
2283,"of an invincible man who refused to give up, \god walks my dreams\\""2284""",,
2286,rt just found this video of the making of this photoshoot for flipkart...can u tell i had barely slept the night …,,
2288,rt congratulations winners! inbox us your email ids with your id proofs to receive your flipkart vouchers from us.,,
2290,"pro et701 tablet at 41% off buy for rs 3499 on  here go",,
2291,es3528 riley analog watch  - for women is selling cheaper at inr 9595 today,,
2292,latest from flipkart adds ping chat feature to its mobile suite,,
2293,"why top executives are leaving startups most to start up on their own. enuf space for all to grow n create value.",,
