,score,text,score_ideal
218,0,rt flipkart says 41% of indian e-commerce happens on mobile. 70% of flipkart's 50 million users shop on flipkart's app,1
219,0,sling urban photo 250  camera bag is selling cheaper at inr 3499 today,1
220,0,"i ask to you one question to all flipkart senior why your delivery boy &amp; people doing such 
gunda giri with me.",-1
221,-1,overall i want to say only courier people are running not the owner of flipkart.,-1
222,0,"rt .  ,  ,  , peeyush ranjan shopping together on for a watch.",0
223,0,the prophet (english) is selling cheaper at inr 60 today,1
224,0,earn           and  vouchers for answering surveys on join at,1
225,1,"hi friend, can you please give me an invite to ?",0
226,-1,india's ecommerce giant flipkart introduces social network feature - memeburn,1
227,0,v 4 v 4 headset with mic 9008 wired gaming headset is selling cheaper at inr 210 today,1
228,0,introduction to management science operations research is selling cheaper at inr 531 today,1
229,-1,"on page of metal gear solid legacy collection, its having description of bioshock game.",1
230,0,"hey, check out ping! now shop with friends on flipkart invite link",1
231,0,rt drag. drop. share. 3 easy steps to social shopping with,1
232,0,glares by titan wayfarer sunglasses is selling cheaper by 2% at inr 2385 today,1
233,0,flipkart’s ‘ping’ aims towards bringing the joy of shopping with friends &amp; family back!,1
234,0,xbox 360 4 gb kinect with kinect adventures is selling cheaper at inr 24990 today,1
235,0,"cauet officiel, cauetofficiel   -&gt; discover flipkart offers, coupon codes at",1
236,0,"'curfew', 'indulge', 'lathicharge' &amp; 'sarabjit'   -&gt; discover flipkart offers, coupon codes at",1
237,0,"hey, check out ping! now shop with friends on flipkart",1
238,-1,thanks for working on my revolutionary idea .....whomp,1
239,0,lumia 1520 is selling cheaper at inr 35999 today,1
240,0,smart tab 8 tablet is selling cheaper at inr 5880 today,1
241,1,"it's really, really hard to make software to power an online ebook retailer - even when you have millions to spend",0
242,0,earn  and           vouchers for answering surveys on join at,1
243,-1,thanks for working on my idea ...thanks flipkart,1
244,0,rt flipkart is about to launch something new &amp; social. stay tuned for more or tell us what it could be!,0
245,1,free rs. 250 flipkart voucher. get flipkart 250 gv on 4000 rs. gv. valid only on apps,1
246,0,new ping feature wants to make shopping more social,1
247,0,"rt interesting!
41% of online shopping comes from mobile, and india leads the system.",1
248,0,flipkart did acquire appiterate...,0
249,0,rt  ping overview in one pic,0
250,1,use this invite.,0
251,0,earn  and  vouchers          for answering surveys on join at,1
252,0,"rt lights...camera...do the 2 vouchers, gym memberships &amp; goody bags!",1
253,0,on  by ari2626 good-e-tailer -,0
254,1,please raise a return request online by logging in to your flipkart account. we'll sort it.,0
255,0,"rt advice on people management, when you taught at
 the cost of",-1
256,-1,not good  !!,-1
257,0,flipkart wants to make online shopping social with ping,1
258,0,rt flipkart brings ‘ping’ for real time conversation,1
259,-1,the first feature which requires mobile app only. flipkart launches ping.,1
260,1,flipkart keeps app plan on hold to assess how it will impact sales in big-ticket -,0
261,1,"rt when i grew up in india, our family had a \ration card\\. now my parents use flipkart. dizzying change in last 25 years""",0
262,0,is india number 1,1
263,0,i want to send you the screenshot in dm of flipkart invoice wherein they mention seller address. why can't you.,-1
264,-1,i have shared it but i am not getting any help.,-1
265,-1,india’s ecommerce giant flipkart introduces social network feature,1
266,1,flipkart launches new in-app feature that lets you ask friends what to buy in ...,1
267,1,seriously they should return money immediately if a person cancel the order! it takes 8 days why?,-1
268,0,"'bandh'   -&gt; discover flipkart offers, coupon codes at",1
269,0,rt how aims to redefine through ping,1
270,0,"flipkart launches new feature 'ping'


social commerce can be a useful extension for",1
271,0,"rt &amp; executives join hands with an angel to float a new platform for used cars, spinny v…",1
272,1,"telemarket for me by call online sellers from snapdeal,flipkart,ebay, amazon.in and get them registered…",0
273,1,"telemarket for me by call online sellers from snapdeal,flipkart,ebay, amazon.in and get…",0
274,0,"telemarket for me by call online sellers from snapdeal,flipkart,ebay, amazon.in…",0
275,0,"pantaloons, amazon, snapdeal, jabong and flipkart sale over....

nse bse sale started ..flat 20% off on all shares",-1
276,1,no long-term in or just in a fast cannibal,0
277,0,rt  wants to be your next social network because shopping all by yourself is boring,0
278,1,"deals of the day price says rs.549, when i click it said 999rs. now its saying 790rs. within 30 seconds.. solve these issues..",-1
279,0,"why top executives are leaving startups like flipkart, snapdeal, ola",-1
280,1,an attacker called love price in india - an attacker called love online at have a look at it!,0
281,1,"the number game 
ys making sense of flipkart’s and snapdeal’s valuations through their gmv via",0
282,1,"call online sellers from snapdeal,flipkart,ebay, amazon.in and get them registered to sell their products on vyoms…",0
283,0,early-stage boom may hit follow-on rounds,1
284,0,seems to be taking the lead in some stuff for way to go..,1
285,1,now why would flipkart name its social network ping when there's already a failed social network with the same name,-1
286,-1,"ws retail still selling at 549.. when clicking buy now, it redirects me to cart.. but then shows \no item on cart\\\""""",-1
287,1,"telemarket for me  by vyomshop call online sellers from snapdeal,flipkart,ebay, amazon.in and get them registered …",0
288,0,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - the economic times",-1
289,1,"just a little finishing touches needed, but the k3 note is almost ready for today's sale on",1
290,0,hey hi guys can i have an invite for the same...,0
291,0,ddr3 4 gb(1 x 4gb) pc ram (cmv4gx3m1a1600c11) is selling cheaper at inr 1709 today,1
292,1,"rt just a little finishing touches needed, but the k3 note is almost ready for today's sale on",1
293,-1,this type of cheating not expected from   for info to,-1
294,0,samsung galaxy j5 and j7 starting at rs.11999 exciting offers- sale at flipkart !,1
295,0,samsung galaxy j5 and j7 starting at rs.11999 exciting offers- sale at flipkart !,1
296,0,"rt pantaloons, amazon, snapdeal, jabong and flipkart sale over....

nse bse sale started ..flat 20% 
wa",-1
297,0,"and executives join hands with an angel to float for used cars, via",1
298,0,travel blue luxury eye mask eye shade is selling cheaper at inr 224 today,1
299,0,"rt and executives join hands with an angel to float for used cars, …",1
300,1,mock test paper for,0
301,0,flat 50% off on home sofas- big sale at flipkart !,1
302,1,tried flipkart's ping. good product. but i doubt it will see adaptation. too many features confuse the users and they may get overwhelmed,-1
303,1,"hey  where would v find d pics of launch event of ping held at f baar, new delhi yesterday?",0
304,1,"rt the number game 
ys making sense of flipkart’s and snapdeal’s valuations through their gmv vi…",0
305,1,"- buy flipkart gv worth rs 4000 and get gv of rs 250 at flipkart app -- flipkart -- rs. 3750.0 -- gifting, stationery &amp; office…",1
306,0,etcio | how flipkart’s ping aims to redefine e-commerce through the messenger,1
307,0,"etbrandequity | flipkart's up for a chat, introduces ping messenger for mobile app",1
308,0,flipkart app gets an add-on chat ping,1
309,0,rt flipkart app gets an add-on chat ping,1
310,0,"rt shopping now is very isolated experience,   is bringing new product called  where u can do soc…",-1
311,-1,where is my flipkart voucher that i won. hope u are not cheating on twitter,-1
312,-1,you guys sell shit! sell defective phones over  !,-1
313,-1,thanks flipkart  for spoiling the rakhi festival! you took 8 days to revert on the order,-1
314,0,an year back i wrote about coshopping in mobile now flipkart has implemented it with ping,1
315,1,"rt the number game 
ys making sense of flipkart’s and snapdeal’s valuations through their gmv v…",0
316,0,why are you telling us on 26th when the rakhi is just two days away!,-1
317,0,"flipkart launches new feature 'ping'

 -via inshorts",1
318,0,very interesting and innovative thing by flipkart no need to leave app to discuss any products with friends. cool..,1
319,0,"now \ping\\ your friends before buying""",0
320,0,flipkart e-gift vouchers rs.250 free on rs. 4000 (on app),1
321,1,kaspersky internet security - multi-device is selling cheaper at inr 1399 today,1
322,0,wd 1 tb black desktop internal hard drive (wd1002faex) is selling cheaper at inr 6025 today,1
323,1,"rt the number game 
ys making sense of flipkart’s and snapdeal’s valuat…",0
324,0,unite 2 a106 (8 gb) is selling cheaper at inr 5830 today,1
325,-1,any idea when   and  are launching in india?,0
326,1,making sense of the valuations done by these companies through their gmv. interesting!,1
327,0,rt  &amp;   on why top executives are leaving high growth startups,-1
328,-1,"\shrinking interactions with the founders coupled with decreased influence on impactful decisions\\""
1447""",-1
329,0,"why top executives are leaving startups like flipkart, snapdeal, ola &amp;amp;amp; others",-1
330,0,looking for designer build a website for online store by want to create website like flipkart. (budget…,1
331,0,"why top executives are leaving startups like flipkart, snapdeal, ola &amp;amp; others | et retail",-1
332,-1,"rt forget 
baap of all sale - visit",1
333,1,"samsung and in stock on flipkart
price rs 11,999 - 14,999",0
334,1,"yourstoryco rt the number game 
ys making sense of flipkart’s and sna…",0
335,0,how flipkart’s ping aims to redefine e-commerce through the messenger,1
336,0,thisisecommerce how flipkart’s ping aims to redefine e-commerce through the messenger …,1
337,0,"why top are leaving like flipkart, snapdeal, ola &amp; others",-1
338,0,"rt why top are leaving like flipkart, snapdeal, ola &amp; others",0
339,-1,"&lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0
340,0,is it trusty  one,1
341,1,"rt just a little finishing touches needed, but the k3 note is almost ready for today's sale on  are you?",0
342,-1,"indrani mukherjea &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0
343,-1,"surat &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",
344,1,"hii, 
we find you you the best deal out of the many online sites like flipkart, snapdeal, amazon, jabong etc",1
345,0,"why top are leaving like flipkart, snapdeal, ola &amp; others …",-1
346,0,"ok is it cash back site?? what are the offers for amazon,flipkart??",0
347,1,"you have a great product, how do you improve on it??  has done just that. great update, app is even better now. looks useful.",1
348,-1,"brahmin &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0
349,0,desire 816g (octa core) is selling cheaper at inr 15400 today,1
350,-1,"rt &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",0
351,0,optimus g (e975) is selling cheaper at inr 18490 today,1
352,1,already?,0
353,1,flipkart buy gift vocher worth rs4000 &amp; get gift vocher of rs250,1
354,0,here's why flipkart has put its app-only plans on hold via,-1
355,0,"rt why top executives are leaving startups like flipkart, snapdeal, ola",-1
356,0,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others",-1
357,1,"hi flipkart. i've got sony bravia on monday, they said itll be installed on wed.still i didnt get any call. kindly help.",-1
358,0,flat 50% off on home sofas- big sale at flipkart !,1
359,-1,is not everyone's cup of tea - why top executives are leaving startups,-1
360,0,online shopping goes social with flipkart's ping,1
361,0,"hey, check out ping! - let’s shop together on ping by flipkart.",0
362,-1,"bean bag covers flat rs 499 flipkart
.
buy .
flipkart is offering amazing offers on...",1
363,0,on best selling titles minimum 45% off,1
364,1,support system being created by companies like    at workplace is much desired,1
365,0,usb cables minimum 24% off,1
366,1,"i'll opt for the lenovo k3 note coz even though the price is the same,  delivers to shillong while  does not!",0
367,0,footwear for men &amp; women flat 40% off,1
368,0,rt the rocking  product team with the rocking fashion bloggers!,1
369,0,how flipkart's ping aims to redefine e-commerce through the messenger,1
370,0,"sale-india's most affordable 4g smartphone lenovo a2010(black, 8 gb) -  rs. 4,990",1
371,0,a wanna be monopoly when people stopped giving a fuck about long back,-1
372,0,"totes, backpacks &amp; more min. 40% off",1
373,0,f&amp;d w330x wireless speaker is selling cheaper at inr 3790 today,1
374,-1,"rt    these guys r fraud, wl nt gv u return in 30days period. they only mentioned i…",-1
375,0,on fiction best-sellers minimum 45% off,1
376,-1,"\shrinking interactions with the founders coupled with decreased influence on impactful decisions\\""
2113""",-1
377,-1,got appreciation for my idea from team for thinking ahead. happy not content,1
378,-1,when can i expct a call back. how difficult it is send sum1 to come n pikup the not working device.,-1
379,0,x-box 360 4 gb kinect holiday bundle is selling cheaper at inr 24500 today,1
380,0,thanking u beautiful,1
381,0,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - economic times",-1
382,0,do try this out,0
383,0,thanking u bro,1
384,0,wah!! congrats...,1
385,1,"waitlist for flipkart ping already at over 100k, says punit according to soni, flipkart has 50 million p...",1
386,0,thanking you bro,1
387,0,exclusive...replaced product shoddy finish...no qc once again why do they carry such a shoddy manufacturer,-1
388,0,"'sheena'   -&gt; discover flipkart offers, coupon codes at",0
389,1,rt we have our 1st winner for today!congratulations  enjoy your rs.5k  voucher! ht…,1
390,1,lenovo k3 note black and white variants to go on sale on flipkart today…,1
391,0,flipkart launches ping. now shop with your friends » nextbigwhat,1
392,0,disappointed with service by flipkart jbl t200a,-1
393,0,"rt flipkart launches new feature 'ping'

 -via inshorts",1
394,0,rt shopping goes social with  ping. will this feature give it an edge over the others?,1
395,-1,my  answer to how do i turn off notifications in the flipkart app?,0
396,0,flipkart ping – making online shopping go social again,1
397,1,flipkart 3 order successfully delivered within 2 day,1
398,0,"glocal source apple stainless steel  525 mug

ads on 99spr",0
399,0,flipkart launches in-app chat feature called ping,1
400,1,"rt 8gb) just rs. 11,999 with 4 more offers –",1
401,1,"rt 32gb, white) just rs. 7,349 on exchange offer –",
402,1,"rt digiflip pro et701 tablet( 8gb, wi-fi) just rs. 3,499 on | go shopping mart",
403,0,flat 50% off,
404,1,"unicorn developers who think survive because of them, may soon realise reality is exactly the opposite",
405,0,"shopping goes social with flipkart ping, dbs bank to soft launch its mobile banking pla...",
406,1,today's 2nd winner is...  congratulations enjoy your rs.5k  voucher!,
407,1,rt today's 2nd winner is...  congratulations enjoy your rs.5k  voucher!,
408,0,congrats deserving,
409,0,wow congrats guy ;-),
410,0,"digiflip pro et701 tablet at rs.3,499  upto 16% from &gt;&gt;",
411,-1,ratb-11032cy resistance tube is selling cheaper at inr 1050 today,
412,0,congrats,
413,1,"hii devender singh devendersingh93, want to get iph0ne 6 for free? please go check my bi0. thx",
414,1,"hii storyofpen2013 storyofpen2013, want to get iph0ne 6 for free? please go check my bi0. thx",
415,0,congratulations winners! inbox us your email ids with your id proofs to receive your flipkart vouchers from us.,
416,0,when can we expect the accessories for  canvas xpress 2 in india?,
417,1,sdhc 32 gb 40 class 10 is selling cheaper at inr 935 today,
