No,text,Score_ideal
84,i sincerely regret the experience you have been through. kindly share your order id. i'll help you out. thanks! mukti.,-1
85,"sir.. m sure you will find these exclusive wooden cases 
very sexy",0
86,"upon my tweeting, somebody from  called up, clarified doubt. good. thanks.",1
87,"fashion koni heeled slip-ons..
for see more sample and buy please open the below link..",0
88,snapdeal makes me happy!!! love the huge range of products.,1
89,rt snapdeal new office looks awesome! how can i apply for post ?,1
91,practically addicted to shopping on snapdeal. i found lots of amazing offers here.,1
92,"yes, loved this",1
93,how shameless u ppl r. now u r not replying also.,-1
94,80% of  orders will be conducted via over the next 2y,0
95,the ambience is awesome,1
96,would be finishing my degree next year.....would be,0
97,it is great shopping on snapdeal. fun time. i am liking the offers on,1
98,i hope i get to work there someday!,0
99,they just loved it,1
100,rakhi upto 80% off on toys &amp; gift store at snapdeal,1
101,showed the pics to my friends today!,0
102,is amazing workplace ever,1
103,"worst  company i ever used,they cant even do what they write in email for refund",-1
105,cheers and good luck,1
106,new office with beautiful interior is the perfect gift to employees,1
108,looks fantastic,1
109,best place to work,1
110,- 48% off on intex underwater fun swimming pool- 6 feet in snapdeal at lowest deal price,1
111,aeolus tyre on me,0
112,snapdeal is a nice website. shopping on snapdeal is very easy.,1
113,"hey, look what i found on snapdeal. pitambari creations white fabric wedding cards, pack of 50...",1
114,toys gifts store upto 80% off  upto 8% from &gt;&gt;,1
115,snapdeal has made their employees super happy,1
116,true story!,0
117,superb interior,1
120,goes contemporary -,0
121,would love to work in this lovely office,1
123,makes  everyone to work in snapdeal awesome !!,1
124,rt register now to own the 1.3ghz processor &amp; 8mp camera loaded,0
125,is definitely the most amazing workplace ever,1
126,"wow
i loved it !!",1
127,"rt snapdeal
amazon 
myntra 
flipkart 
yepme 

rupee 
promises 

everything is available on huge discounts.",0
128,amazing place to work at,1
129,"gurgaon is so lucky ,so 
 is here !!",0
130,rt welcome awesomeness in your life with register today -,1
131,rt buy the entire  collection from  click the link and check out the collection. htt…,0
132,snapdeal new office looks awesome! how can i apply for post ?,1
133,"its a
!!",0
134,ha  g,0
135,"amazing infrastructure, a place to work happily",1
136,we transform lives 'n now spaces! welcome to,0
137,without doubt its a good place for work   !!,1
138,apologies for the experience. i'll get this checked with my team &amp; update you on this. thanks! -kavya,1
142,"wow it look like grand welcome , definitely i want to work here",1
143,rt isn't this the best place to work in it looks so cool,1
144,rt only the beginning of our journey...,0
145,great to know that  has opened new office in !!,0
146,is the place where everyone would love to work &amp; work to love,1
148,one of the best places to work in is the !,1
149,totally in in love with snapdeal's new office....,1
151,"looks so cool.. 
i wish to work here !!",1
153,beautifully &amp; intelligently designed,1
154,wow  it's the best place   where i would like to work,1
156,keep climbing new summits.,1
157,"tweeps! join   for the &amp; 
win a brand new",0
158,"cover hub nearby,you all will enjoy your parties &amp;  birthdays",0
159,"a gym, a spa, a library..everything wow",1
160,superb infrastructure &amp; beautiful interior one would love to have!,1
161,isn't this the perfect place to do work,1
162,rt     super awesome!,1
163,is the place where everyone would love to do work there,1
164,rt thanks to  we are giving away one more xiaomi mi4i. click here to know more&gt;&gt;,1
165,enjoy your new premises with more power to boost you.,1
166,thanks to  we are giving away one more xiaomi mi4i. click here to know more&gt;&gt;,1
167,still waiting for the product despite making 4 calls to your customer care today itself...,-1
168,amazing welcome to employees at,1
169,buying on snapdeal is a smart choice. customer service of snapdeal was good. got  more than i expected.,1
170,i am a loyal and happy snapdeal shopper. never found online shopping so convenient.,1
172,amazement with  new wonder in gurgaon for snapdeal  employees,1
173,everyone would love to work this beautiful place,1
174,"rt congrats  and  on your 
seems lik a blast
you should invite ggn companies to …",0
175,"hope you heard from us &amp; we were able to address the issue. do let me know, if you need any further assistnace. thanks! -kavya",0
176,its all about the job satisfaction with amazing here,1
177,without any doubt  is the perfect place to work in town!,1
178,now i too want to work in  it has a world class campus in gurgaon.,1
179,amazing place to work is and it's the,1
180,gear fit-r3500(charcoal black) is selling cheaper at inr 7400 today,1
181,they give impressive welcome to employees at isn't it amazing??,1
182,complete exaggeration.... isn't it?,-1
183,- 53% off on bosch gsb450re impact drill with 100pcs home kit at snapdeal,1
184,ncr is shining with office at gurgaon,1
185,- 83% off on 41 pcs home tool kit at snapdeal,1
187,the world of new opportunities,0
188,"sale!!! (somebody posted on fb) 
amazon, snapdeal, flipkart sale is over....
\ nse-bse sale started ..flat 20% off \""""",1
189,hi  manufacturer's warranty will be given with the product. you can claim the warranty from the invoice provided by us.thanks! kavya,0
190,earn upto 10% on at via,0
191,- 38% off on toyhouse 4-in-1 luxury tricycle in snapdeal at lowest deal price,1
192,- 50% off on playtool 2-in-1 tricycle cum scooter in snapdeal at lowest deal price,1
194,guys the most happening place to work is is here and it is,1
195,great interiors n great designs,1
196,it has the most friendly atmosphere &amp; a superb cool fascinated place to work!,1
197,no,-1
198,"same product two different price.
shame on you",-1
199,found shopping on snapdeal to be very good. expecting more wonderful offers from snapdeal.,1
201,"rs 4,999 micromax canvas spark flash sale on budget smartphone available from wednesday noon
 
…",0
202,we got one great place to work in and it is without a doubt!,1
203,"cool things, nice shopping on snapdeal. makes you smile. have a really cool mobile shopping app.",1
204,buying on snapdeal is a smart choice. i found shopping on snapdeal to be very simple and easy.,1
205,it will be a definite pleasure to work in snapdeal.,1
206,amazing red carpet welcome for the employees,1
207,if i buy dell  laptop  from   or   do i get   warranty,0
208,what is the all about?,0
209,awesome place to work in town!,1
210,is surely the most amazing place to work in town,1
211,"the is at gurgaon..
looks so cool. wish i could change my job !!",1
212,spf1237 7-inch digital photo frame is selling cheaper at inr 3723 today,1
213,"if this is how snapdeal's new office looks,i only have one question-where &amp; how do i apply?",1
214,ddr3 4gb desktop ram (cmz4gx3m1a11600c9) is selling cheaper at inr 1923 today,1
215,now working in this new avenue to send you your 'dil ke deal',1
216,luminous 600va ups pro) is selling cheaper at inr 1699 today,1
218,truly perfect place to work at,1
219,what a perfect place to work at,1
220,facility and services are directly proportional to the best experience,1
221,"wow, i am very happy to hear this news for opened the new office in gurgaon",1
222,omg!! the coolest place to work in is the without a doubt!,1
223,i'll get this checked with my team &amp; we'll get back to you with an update on this. thanks! -kavya,0
224,this looks cool,1
228,"rt look at their new gurgaon facility, what a place its to work, just a dream for any employee",1
230,new home for snapdeal,0
231,people are working in this new avenue to send you your 'dil ke deal',0
233,"gym, spa, library all at one place.. wow",1
234,really loved the fresh new look,1
235,"really loved it, can i work here",1
236,"buy &amp; with discounts by gravolite
shop",1
238,wow !!! its great to know that  has opened new office in !!,1
239,this week in startups,0
240,cooler master chassis haf xb cabinet is selling cheaper at inr 8499 today,1
241,without any doubt its  perfect place for work   !!,1
242,really loved the all new look,1
243,but it would be treat to see the place!,1
244,"look at their new gurgaon facility, what a place its to work, just a dream for any employee",1
247,it is great shopping on snapdeal. fun time. i was happy to get my product delivered very quickly.,1
248,persons r more imp than places..n the designs and interiors of this office will nt attract,-1
249,there is a new no.1 result in the search engines for most attractive looking offices in ncr,1
250,i wanna work here,0
251,congratulation to   for new setup at gurgaon.,1
252,"a new amazing place in the town !!  its is
!!",1
253,really cool new look,1
254,rt must say its amazing place to work at,1
255,"rt gym, spa, library all at one place.. wow what could be better than this! l'ovin the news of",1
257,team??? winners didn't got the voucher yet please respond to them,-1
258,must say its amazing place to work at,1
259,pls check your dm,0
260,now we are working in this new avenue to send you your 'dil ke deal',0
261,snapdeal makes me happy!!! delivery made me happy,1
262,"gym, spa, library all at one place.. wow what could be better than this! l'ovin the news of",1
263,#NAME?,0
264,adbe's rajiv mangla to take over as snapdeal’s cto,0
265,- 41% off on play way bike in snapdeal at lowest deal price,1
266,- 35% off on love baby pink tricycle for kids in snapdeal at lowest deal price,1
267,- 55% off on syma s107 and s107g rc red helicopter in snapdeal at lowest deal price,1
268,really loved it,1
269,rt welcome awesomeness in your life with register today h…,1
270,rt welcome awesomeness in your life with today,1
271,welcome awesomeness in your life with today  rt,1
272,is the best place for delhites to work,1
276,happy with my product i got from snapdeal i was happy to get my product delivered very quickly.,1
277,"eye-catching, classy interiors that seem to invite you over at the",1
278,welcome awesomeness in your life with register today,1
279,i'm travelling to  new office at gurgaon.,1
280,rt wow this is like the google office.,1
281,"a lovely workplace 
at gurgaon for  peoples !!",1
282,feels like heaven,1
283,i wanna send my resume here...,1
284,snapdeal is one of the best websites i have seen so far. have a nice customer service.,1
285,perfect place to work at,1
286,happy with my product i got from snapdeal they have my favorite brands.,1
287,"rt guys the coolest &amp; the awesomest place to work
oh yes- its none other than  office",1
289,"isn't look like grand welcome
loved it !!",1
290,rt oh  love u still smiling! thnx 4 the energy! we do it with style and panache for sure!,1
291,rt great place to work - snapdeal you rock! what an awesome campus,1
292,snapdeal shopping in one word - simple amazing it is largely easy to shop from snapdeal.,1
295,snapdeal shoppping is equal to smart shopping. i am expecting more nice offers from them.,1
296,rt is a place where passion meets innovation &amp; create the impact on millions.,1
297,rt my dream office space would undoubtedly be snapdeal's delhi office.,1
298,snapdeal’s hot new a 90 minute return request pickup,1
299,rt if you wish to work with pleasure.....best would be to work with,1
300,rt a work environment speaking of classy decor &amp; super infrastructure at,1
301,happy with my product i got from snapdeal shopping from the snapdeal mobile app was very good.,1
302,rt  snapdeal new office looks awesome! how can i apply team?,1
304,making everyone to work in snapdeal awesome !!,1
305,"rt diligent employees, caring employers is what you get when you have a workplace like",1
306,wow this is like the google office.,1
307,rt i won't even feel like taking a leave. that's,1
308,the designs and interiors of this office are shouting clearly that they are the best!!,1
309,starting from interiors to the color of the walls; everything is the best at the,1
310,rt this is dream job &amp; the best place to work in,1
311,"don't be tempted by the looks.   can't match global giants like google, facebook etc!",1
312,this is dream job &amp; the best place to work in,1
313,everyone would love to work in this lovely office,1
315,so far the best welcome to its employees till now by snapdeal!,1
316,snapdeal has made their employees super happy with this interior,1
317,perfect is the word for it!,1
318,sana just spotted you. where is this new world?,0
319,guys look at the best,1
320,rt and now is trending!,0
321,delhi has got a new glitter adding to its charm! office,1
322,today the talk of the town is       wohooop !,1
323,any chance for it to come to mumbai too?,0
324,how awesome can an office be wow  is seriously beyond awesome.,1
325,i so wish my workplace was as cool as the,1
326,i won't even feel like taking a leave. that's,1
327,i would love to work at this beautiful place!,1
328,complete awesomeness!,1
329,rt snapdeal to appoint new technology online retailer snapdeal is in talks to hire rajiv ... via,0
330,wanna work here ..,0
331,wish to have  working environment like the,1
332,the design and interior was perfect..,1
333,its a beauty,1
334,an office so cool that employees won't even feel like taking a leave. that's,1
335,i am looking forward to work in the all,0
337,"rt loved the 
it's their new office in gurgaon !",1
338,"rt a very happening place in the town! its is
without any doubt",1
339,"rt superb infrastructure &amp; beautiful interior one would love to have! 
   awesome…",1
340,"indians ecommerce site  
opens a new office tody... party",0
341,"in office sports room, cafe, all under one single roof. omg this is great !",1
342,so i give them the title of 'the best place to work in',1
343,the have a great interior. beautiful office.,1
344,"rt sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
345,has a new improved office in delhi. congratulations,1
346,i wanna part of the all,1
348,worst service... still i have not received my product bt in web site's it's showing i have received,-1
349,love the way how you welcome people  in the,1
350,largest online marketplace  has all .,1
352,ayo rma its wonder full jeee,0
353,mind-blowing office to work in,1
354,working in the is really a once in a lifetime opportunity.,1
356,"seems like everyone wants to be there! yes, work is fun in such an awesome workplace ;)",1
357,i am coming to see you soon,1
359,the largest online marketplace  has all .,0
360,good to know about the   is here in delhi,0
361,is at the perfect location..,1
362,looking forward to see more surprises from you. you guys are amazing,1
363,"grand welcome .. snapdeal..
its really a great event",1
364,this is a dream place to work in!,1
365,"wow opening with a great dance..
loved",1
366,"if this is my new workplace, i am sure i would never take leaves ;)",0
367,"cool things, nice shopping on snapdeal. makes you smile. some really cool offers to shop from.",1
368,good to know that  has opened new office in,1
369,such a great news i haread in the morning,1
370,must say world class place to be work at,1
371,monsoons are beautiful not the smelly wall seepage. get airwick freshmatic citrus spice,0
372,"guys the coolest &amp; the awesomest place to work
oh yes- its none other than  office",1
373,check out the,0
374,is here! who can say no to such awesome work place? probably no-one,1
375,"turn heads with the all-new and make an impression
register now   come on guys",1
376,"is so stylish!
loved it!!
suppa classy",1
377,guys gurgaon welcomes this just makes the coolest workplace in india.,1
378,book a product at 14 august and still waiting. great job,-1
379,woww welcome to employees in,1
380,has opened a new office in gurgaon ! have a look !,0
381,have you seen  here at gurgow..,0
382,please refer the given link for the thanks! -kavya,0
383,love this  place for every employee,0
384,- 49% off on saffire green annie 4 in 1 solar robot in snapdeal at lowest deal price,1
385,guys i wish i had a working environment like the,0
386,- 40% off on fantasy india red remote control rechargeable car with steering in snapdeal at lowest de…,1
387,- 60% off on slick yellow plastic battery operated walkie talkie for kids 2 pcs in snapdeal at lowest…,1
388,so delhi is shining with office,1
389,gurgaon is bloody lucky! delhites those who work in snapdeal are born lucky!,1
390,rt guys check coolness redefined,1
391,- 30% off on lee cooper brown formal shoes at snapdeal,1
392,- 27% off on celkon millennia q450 dual sim 4gb white at snapdeal,1
393,centre of attraction is here  new talk of town - gurgaon !,1
394,the pictures look so good! kudos to the entire  team!,1
395,adobe's rajiv mangla to take over as snapdeal's cto,0
396,a happening workplace ensures the employees are always enthusiastic!,1
397,"sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
398,guys you will be pleased to see the check it out,1
400,"rt eye-catching, classy interiors that seem to invite you over at the",1
401,everything is colourful and a visual treat in,1
402,tweeps its great to know that  has opened its new office in,1
403,guys in the capital of india! you have gotta check it out,0
404,"rt turn heads with the all-new and make an impression.
register now",1
405,it's such a warm welcome to employees in,0
406,awesome! truly awesome.,1
407,amazed by the looks and interiors of,1
408,snapdeal makes me want to shop more. they have an awesome collection of brands.,1
409,world class infrastructure at,1
410,is a beautifully planned office newly opened in gurgaon!,1
411,great place to work from,1
413,i spose even the employees wud get a gr8 kick out of this &amp; working wud be real fun in  now..,1
414,i am a loyal and happy snapdeal shopper. have never found shopping so convenient,1
415,rt making sense of flipkart’s and snapdeal’s valuations through their gmv,0
416,.  is one of d best of d workplace .,1
417,this looks amazing,1
418,yes i'm just loving the in guragaon! the new office of,1
420,happy with my product i got from snapdeal i love to shop from a wide range of products which are available here.,1
421,guys check a dream place for every employee,1
422,this is the big joinery starting for the snapdeal,1
423,i am a loyal and happy snapdeal shopper. found their customer support to be very good. one of the better ones i have experienced so far.,1
424,got amazed by the spectacular decoration at,1
426,i am a loyal and happy snapdeal shopper. it is very easy to shop from snapdeal.,1
427,"tweeps  has opened their new office in gurgaon, yes great place i would love to work with in",1
428,snapdeal snapdeal snapdeal,0
429,great designs,1
430,"lover ? 
f&amp;d a111u multimedia speaker at 50% off rs 1349 paytm here …",0
431,loved the office so much,1
432,a dream place for every employee,1
433,i am a loyal and happy snapdeal shopper. got my product very quickly from snapdeal.,1
435,meizu mx5 more than better register now  snapdeal,1
436,largest online marketplace  has all,0
437,"quick quiz.. an office in gurgaon with world class amenities and facilities..
.
.
.
.
.",1
438,superb infrastructure &amp; stylish decor makes  a class apart.,1
439,tweeps largest online marketplace  has all .,1
440,such a warm welcome to employees in,1
442,guys check coolness redefined,1
444,"did you check out the 
so fabulous n diserable to work in",0
445,infrastructure par excellence! world class place to be work at,1
446,the employees at are so lucky to have such a beautiful office,1
447,tweeps is a place where passion meets innovation,1
448,best working environment like the,1
449,congrats   guys  ... new  office  at ncr woohhooo,1
450,i am applying right now for a job in,0
451,this is certainly perfection personified place to work at,1
452,i'm working in the most beautiful office in the town of gurgaon!,1
453,"all incorporated here under one roof gym, spa, library and much more...",1
455,"snapdeal raises $500 million funding from alibaba group, foxconn and softbank",1
456,is surely the most awesome place to work in town!,1
457,escape  to the,0
458,"has gym, spa and library! 
surely one of the best place to work in gurgaon",1
459,other online e-markets would soon copy,0
460,"has opened their new office in gurgaon, yes great place i would love to work with in",1
461,this is an amzing place to work from,1
463,superb infrastructure and at a cool place,1
464,really office looks amazing.,1
465,i wish to work in  amazing world class campus in gurgaon.,1
466,"a wonderful workplace 
at gurgaon to work in",1
467,probably the only workplace in india that matches excellence of international level.,1
468,32gb microsdhc evo class 10 is selling cheaper at inr 746 today,
469,is the new office in gurgaon! beautiful and colourful,
470,the coolest place to work in is the without a doubt!,
472,this is what one can call a awesome design.kudos for fab interiors,
473,"i would definitely love to work in a place like this, great interiors n positive vibes",
474,it's impressive welcome to employees at,
475,is trending now!!,
476,rt the  is just amazing,
477,"anything  does, trends india-wide on twitter?",
478,"guys gurgaon.
looks so cool.
i wish could work here !!",
479,the office pics  just blew me away i wish i could be one of the employees of,
480,the  is just amazing,
481,"if this is how snapdeal's new office looks, i only have one question - where &amp; how do i",
482,"best news ! 
 has opened new office in",
483,it is great shopping on snapdeal. fun time. have never found shopping so convenient its  fast and easy to use delivery is very accurate,
484,"guys so gorgeous, working over there would be a delight  at gurgaon",
485,dont forget to  check out the,
487,i am dead sure now  office wud be flooded wid job offers after their,
490,do check out the so fabulous,
491,"guys india's e-commerce site  's
has now an office in gurgaon!
welcome team",
493,"guys gurgaon is so lucky
 is here",
494,beautiful place to work on !!,
495,"a place which every employee will love to work in, the is astonishing!",
496,no doubt this is best place for work,
497,a work environment speaking of classy decor &amp; super infrastructure at,
498,the design of the new office is just aweosme .. loving it,
499,guys chk out the interiors.....here work would be fun!,
500,my dream place to work is  office i wanna join the too!,
501,adobe’s rajiv mangla to take over as snapdeal’s cto,
502,"online retailer snapdeal is in talks to hire rajiv mangla, a top adobe systems executive, as chief...",
503,india's one of the largest online market place new office at delhi ncr,
504,"wouuu this is really amazing..
wanna see it soon",
505,rt amazon transport is ridiculously pathetic. unable to deliver my oneplus 2 even on expected date.,
506,welcome team  you are just aweosme,
507,"do you know 
is constructed in the 4.5 lacs sqft. &amp; will house around 4500 employees",
509,food court &amp; medical centers are present within the campus.,
510,this is quality workplace,
511,this is completely heart warming! snapdeal has made its employees super happy!,
512,guys did you heard about the new office of,
513,cant wait to visit  office at gurgaon.  heard so much!,
514,rt a great place to work,
515,is not less than a surprise for all the shopaholics.,
516,has some great design and interiors. employees are gonna love this,
517,"the new world of our snapdeal is here
now in delhi ncr
new office",
518,"wonderful facilities for the employees as well 
 a lot's of things..",
520,"rt superb infrastructure &amp; beautiful interior one would love to have! 
   awesom…",
521,one word wow  place to work in is the without a doubt!,
523,is constructed in the 4.5 lacs sqft. &amp; will house around 4500 employees,
524,snapdeal is one of the best websites i have seen so far. have never found shopping so convenient,
525,all the best for the new beginnings,
526,"cool things, nice shopping on snapdeal. makes you smile. delivery made me happy",
527,buying on snapdeal is a smart choice. great offers and savings from snapdeal.,
528,its great to know that  has opened new office in,
530,you described it even more beautifully,
532,"everyone is dying to work with u in newly office.
its next gen e-commerce 
yo yo snapdea",
533,"rt quick quiz.. an office in gurgaon with world class amenities and facilities..
.
.
.
.
.",
535,india's one of the largest online market place!! no doubt,
536,rajiv mangla to take over as snapdeal’s cto,
537,perfection personified place to work at,
538,great news,
541,"india's giant e-commerce site  's
has now an office in gurgaon!
welcome team",
542,rt yes! india's one of the largest online market place  is in gurgaon! looks awesome &amp; uniqu…,
543,"superb infrastructure &amp; beautiful interior one would love to have! 
   awesomeness at its best",
545,"see at interior furniture of snapdeal office
its just awesome",
546,"guys the coolest &amp; the awesomest place to work is  office

i wanna join the too!",
547,i have sent my resume plz just reply me,
548,rt and is trending in india.... kudos to team   takes a bow..,
549,wow! this is what we call a smart design.. kudos for fab interiors,
550,galaxy s4 gt i9500 16gb deep black is selling cheaper at inr 15999 today,
551,"wonderful place is the  gurgaon office 
 is here..",
552,it's simply awesome! i really loved this,
553,yes! india's one of the largest online market place  is in gurgaon! looks awesome &amp; unique!!,
554,ur from delhi na ur so lucky to have their office in ur place,
555,"the coolest &amp; the awesomest place to work is  office

i wanna join the too!",
557,- 67% off on saffire remote controlled ferrari with opening doors in snapdeal at lowest deal price,
558,- 36% off on toyhouse pink scooty 6v rechargeable battery operated ride-on in snapdeal at lowest deal…,
559,- 38% off on toyhouse panda swing car in snapdeal at lowest deal price,
560,rt that feeling of numbness on completion of a massive project,
561,is not less than a heaven to work in.,
562,gurgaon is the new place where  gonna rock now !!,
563,i am dead sure now  office wud be flooded wid job offers after their wow what fun na..,
564,a new start to   in form of new office in gurgaon. have to say looks absolutely amazing.,
565,working at the is probably the coolest thing on earth right now!,
566,seriously mindblowing is the word for the,
568,"i would love to work in a place like this, great interiors n positive vibes",
570,the office pics of just blew me away i wish i could be one of the employees of,
571,this is awesome this is beautiful   big congratulations   guys,
574,"wonderful facilities for the employees as well games, cafe, and a lot's of things..",
577,"turn heads with the all-new and make an impression.
register now",
578,"look at interior furniture of snapdeal office
its just awesome guys",
579,amazing look of new snapdeal office at delhi ncr,
580,"the lighter side of free, as seen in  's campaign on",
581,all the arrangement are awesome now thts we are calling it compartable office,
582,the most amazing thing is that not only are the employees at  excited about but also others!,
583,is a place where we do our best to assist our customer better!,
584,has the best of design and interiors. employees are gonna love their working place for sure!,
586,making sense of flipkart’s and snapdeal’s valuations through their gmv,
590,"spa, library all at one place.. wow what coud be better than this! l'ovin the news of",
592,such a beautifully designed office ever,
593,"the pictures looks so wonderful!
kudos to the entire  team!",
594,one of the largest online market place  is in gurgaon! looks awesome &amp; unique!!,
595,snapdeal opening their new office in gurgaon !,
596,snapdeal is one of the best websites i have seen so far. delivery made me happy,
597,"loved this interior
 ,amazing !!",
599,such a beautifully designed office,
600,tvs-e mechanical keyboard usb keyboard is selling cheaper at inr 2016 today,
601,"lover ? 
f&amp;d a111u multimedia speaker at 50% off rs 1349  here 
rs 2079 
rs 2078",
603,just can't get my eyes off. the designs and interiors of the office is making me say wow.,
604,it has great work area space to sit serenely to work and plan effectively,
607,"just say wow.  
look at this",
608,it has great desk space to sit comfortably in order to work n plan  efficiently,
609,let me know how can i apply to work in snapdeal,
612,the gurgoan will be the ultimate place for the employees to work in,
613,their office is the perfect workplace  to their employees,
614,the infrastructure is just outstanding! in love with the new workplace,
615,any vacancy in snapdeal..wanna want to work in gurgaon office !!,
616,i want to be part of the - new office new infrastucture -,
618,hope my office also does the same makeover,
619,"we tried reaching you, but couldn't get through. kindly dm us an alternate no. to contact you. thanks! –kavya",
620,the designs and interiors of the office is making me say wow.it's too good,
622,one of the best place to work is the without a doubt!,
623,safe to say this is the perfect place to work at,
624,the overall design and interiors of the office is making me go wow for sure!,
626,"definitely one of the greatest place to work in,  is absolutely awesome",
627,it is great shopping on snapdeal. fun time. like the quick delivery available on snapdeal.,
628,go to and spend some great time there. awesome office of,
629,such an awesome opportunity for jobseekers in the ecommerce!,
630,"stunning &amp; classy, the is built to drive you crazy!",
632,competing with flash sale as against  falsh sale of,
633,the employees working in the currently are the luckiest people alive!,
634,i would really love to work at,
635,infrastructure is mind blowing congrats to all the employee of,
636,its the in gurgaon&amp; its one of the best offices i have seen. check it out .,
637,everyone wants to work in this lovely office,
638,most marvelous work environment in is certainly the wohoo !,
639,i so wish to work in best office till the date -,
641,perfect office with lots of facilities for all employees,
642,you can send your resume to  thanks! –kavya,
643,i luved the new office of snapdeal at so amazing it is... total unique...,
644,nice interiors indeed,
646,would love to work here,
647,great place,
648,truly inspiring,
652,yes its amazing,
653,is the reason so many want to work in snapdeal now ;),
654,beautiful interiors creating awesome work environment at,
655,picture perfect is the word for it!,
656,great interiors n great designs too,
657,gurgaon is home to another happening work place! all hail,
658,the will open new doors of success and trends !,
659,its has great work area space to sit serenely to work and plan effectively,
660,i agree,
661,looks like a great working place and have fun too,
662,best workplace to achieve dreams!,
663,"great facilities for the employees as well games, cafe, and a lot's of things..",
664,in is such an awesome opportunity for jobseekers in the ecommerce!,
665,"a gym, a spa, a library...is it really a workplace or a dream home? loved it!",
667,congrats to   team for coming up with this new grandeur office in gurgaon!,
668,indeed it will be a pleasure to join you team...,
669,rt folks check the coolest place to work in is the without a doubt!,
670,their office is the perfect gift to their employees,
674,look at the sheer aura of the,
675,"rt last day for registration – just rs. 4,999 on",
676,all the arrangement are awesome now thts we are calling it dil ke deal.,
