,score,text,score_ideal
171,0,if i buy dell  laptop  from   or   do i get   warranty,0
172,0,what is the all about?,0
173,4,awesome place to work in town!,1
174,4,is surely the most amazing place to work in town,1
175,1,"the is at gurgaon..
looks so cool. wish i could change my job !!",1
176,0,spf1237 7-inch digital photo frame is selling cheaper at inr 3723 today,1
177,0,"if this is how snapdeal's new office looks,i only have one question-where &amp; how do i apply?",1
178,0,ddr3 4gb desktop ram (cmz4gx3m1a11600c9) is selling cheaper at inr 1923 today,1
179,0,now working in this new avenue to send you your 'dil ke deal',1
180,0,luminous 600va ups pro) is selling cheaper at inr 1699 today,1
181,3,truly perfect place to work at,1
182,3,what a perfect place to work at,1
183,3,facility and services are directly proportional to the best experience,1
184,3,"wow, i am very happy to hear this news for opened the new office in gurgaon",1
185,0,omg!! the coolest place to work in is the without a doubt!,1
186,0,i'll get this checked with my team &amp; we'll get back to you with an update on this. thanks! -kavya,0
187,1,this looks cool,1
188,1,"rt look at their new gurgaon facility, what a place its to work, just a dream for any employee",1
189,0,new home for snapdeal,0
190,0,people are working in this new avenue to send you your 'dil ke deal',0
191,4,"gym, spa, library all at one place.. wow",1
192,4,really loved the fresh new look,1
193,3,"really loved it, can i work here",1
194,0,"buy &amp; with discounts by gravolite
shop",1
195,7,wow !!! its great to know that  has opened new office in !!,1
196,0,this week in startups,0
197,0,cooler master chassis haf xb cabinet is selling cheaper at inr 8499 today,1
198,2,without any doubt its  perfect place for work   !!,1
199,3,really loved the all new look,1
200,0,but it would be treat to see the place!,1
201,1,"look at their new gurgaon facility, what a place its to work, just a dream for any employee",1
202,10,it is great shopping on snapdeal. fun time. i was happy to get my product delivered very quickly.,1
203,1,persons r more imp than places..n the designs and interiors of this office will nt attract,-1
204,0,there is a new no.1 result in the search engines for most attractive looking offices in ncr,1
205,0,i wanna work here,0
206,2,congratulation to   for new setup at gurgaon.,1
207,4,"a new amazing place in the town !!  its is
!!",1
208,1,really cool new look,1
209,4,rt must say its amazing place to work at,1
210,6,"rt gym, spa, library all at one place.. wow what could be better than this! l'ovin the news of",1
211,1,team??? winners didn't got the voucher yet please respond to them,-1
212,4,must say its amazing place to work at,1
213,0,pls check your dm,0
214,0,now we are working in this new avenue to send you your 'dil ke deal',0
215,3,snapdeal makes me happy!!! delivery made me happy,1
216,6,"gym, spa, library all at one place.. wow what could be better than this! l'ovin the news of",1
217,0,#NAME?,0
218,0,adbe's rajiv mangla to take over as snapdeal’s cto,0
219,-1,- 41% off on play way bike in snapdeal at lowest deal price,1
220,2,- 35% off on love baby pink tricycle for kids in snapdeal at lowest deal price,1
221,-1,- 55% off on syma s107 and s107g rc red helicopter in snapdeal at lowest deal price,1
222,3,really loved it,1
223,2,rt welcome awesomeness in your life with register today h…,1
224,2,rt welcome awesomeness in your life with today,1
225,2,welcome awesomeness in your life with today  rt,1
226,3,is the best place for delhites to work,1
227,6,happy with my product i got from snapdeal i was happy to get my product delivered very quickly.,1
228,4,"eye-catching, classy interiors that seem to invite you over at the",1
229,2,welcome awesomeness in your life with register today,1
230,0,i'm travelling to  new office at gurgaon.,1
231,6,rt wow this is like the google office.,1
232,3,"a lovely workplace 
at gurgaon for  peoples !!",1
233,4,feels like heaven,1
234,0,i wanna send my resume here...,1
235,6,snapdeal is one of the best websites i have seen so far. have a nice customer service.,1
236,3,perfect place to work at,1
237,5,happy with my product i got from snapdeal they have my favorite brands.,1
238,0,"rt guys the coolest &amp; the awesomest place to work
oh yes- its none other than  office",1
239,10,"isn't look like grand welcome
loved it !!",1
240,3,rt oh  love u still smiling! thnx 4 the energy! we do it with style and panache for sure!,1
241,7,rt great place to work - snapdeal you rock! what an awesome campus,1
242,5,snapdeal shopping in one word - simple amazing it is largely easy to shop from snapdeal.,1
243,4,snapdeal shoppping is equal to smart shopping. i am expecting more nice offers from them.,1
244,1,rt is a place where passion meets innovation &amp; create the impact on millions.,1
245,1,rt my dream office space would undoubtedly be snapdeal's delhi office.,1
246,0,snapdeal’s hot new a 90 minute return request pickup,1
247,1,rt if you wish to work with pleasure.....best would be to work with,1
248,6,rt a work environment speaking of classy decor &amp; super infrastructure at,1
249,3,happy with my product i got from snapdeal shopping from the snapdeal mobile app was very good.,1
250,0,rt  snapdeal new office looks awesome! how can i apply team?,1
251,4,making everyone to work in snapdeal awesome !!,1
252,2,"rt diligent employees, caring employers is what you get when you have a workplace like",1
253,6,wow this is like the google office.,1
254,2,rt i won't even feel like taking a leave. that's,1
255,1,the designs and interiors of this office are shouting clearly that they are the best!!,1
256,3,starting from interiors to the color of the walls; everything is the best at the,1
257,4,rt this is dream job &amp; the best place to work in,1
258,2,"don't be tempted by the looks.   can't match global giants like google, facebook etc!",1
259,4,this is dream job &amp; the best place to work in,1
260,6,everyone would love to work in this lovely office,1
261,5,so far the best welcome to its employees till now by snapdeal!,1
262,6,snapdeal has made their employees super happy with this interior,1
263,3,perfect is the word for it!,1
264,0,sana just spotted you. where is this new world?,0
265,3,guys look at the best,1
266,0,rt and now is trending!,0
267,0,delhi has got a new glitter adding to its charm! office,1
268,0,today the talk of the town is       wohooop !,1
269,2,any chance for it to come to mumbai too?,0
270,8,how awesome can an office be wow  is seriously beyond awesome.,1
271,2,i so wish my workplace was as cool as the,1
272,2,i won't even feel like taking a leave. that's,1
273,6,i would love to work at this beautiful place!,1
274,0,complete awesomeness!,1
275,0,rt snapdeal to appoint new technology online retailer snapdeal is in talks to hire rajiv ... via,0
276,0,wanna work here ..,0
277,3,wish to have  working environment like the,1
278,0,the design and interior was perfect..,1
279,0,its a beauty,1
280,3,an office so cool that employees won't even feel like taking a leave. that's,1
281,0,i am looking forward to work in the all,0
282,3,"rt loved the 
it's their new office in gurgaon !",1
283,-1,"rt a very happening place in the town! its is
without any doubt",1
284,11,"rt superb infrastructure &amp; beautiful interior one would love to have! 
   awesome…",1
285,0,"indians ecommerce site  
opens a new office tody... party",0
286,3,"in office sports room, cafe, all under one single roof. omg this is great !",1
287,3,so i give them the title of 'the best place to work in',1
288,6,the have a great interior. beautiful office.,1
289,3,"rt sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
290,4,has a new improved office in delhi. congratulations,1
291,0,i wanna part of the all,1
292,-3,worst service... still i have not received my product bt in web site's it's showing i have received,-1
293,5,love the way how you welcome people  in the,1
294,0,largest online marketplace  has all .,1
295,0,ayo rma its wonder full jeee,0
296,0,mind-blowing office to work in,1
297,0,working in the is really a once in a lifetime opportunity.,1
298,10,"seems like everyone wants to be there! yes, work is fun in such an awesome workplace ;)",1
299,0,i am coming to see you soon,1
300,0,the largest online marketplace  has all .,0
301,3,good to know about the   is here in delhi,0
302,3,is at the perfect location..,1
303,4,looking forward to see more surprises from you. you guys are amazing,1
304,8,"grand welcome .. snapdeal..
its really a great event",1
305,1,this is a dream place to work in!,1
306,10,"wow opening with a great dance..
loved",1
307,0,"if this is my new workplace, i am sure i would never take leaves ;)",0
308,5,"cool things, nice shopping on snapdeal. makes you smile. some really cool offers to shop from.",1
309,3,good to know that  has opened new office in,1
310,3,such a great news i haread in the morning,1
311,0,must say world class place to be work at,1
312,3,monsoons are beautiful not the smelly wall seepage. get airwick freshmatic citrus spice,0
313,0,"guys the coolest &amp; the awesomest place to work
oh yes- its none other than  office",1
314,0,check out the,0
315,3,is here! who can say no to such awesome work place? probably no-one,1
316,0,"turn heads with the all-new and make an impression
register now   come on guys",1
317,6,"is so stylish!
loved it!!
suppa classy",1
318,2,guys gurgaon welcomes this just makes the coolest workplace in india.,1
319,3,book a product at 14 august and still waiting. great job,-1
320,2,woww welcome to employees in,1
321,0,has opened a new office in gurgaon ! have a look !,0
322,0,have you seen  here at gurgow..,0
323,1,please refer the given link for the thanks! -kavya,0
324,3,love this  place for every employee,0
325,-1,- 49% off on saffire green annie 4 in 1 solar robot in snapdeal at lowest deal price,1
326,3,guys i wish i had a working environment like the,0
327,-1,- 40% off on fantasy india red remote control rechargeable car with steering in snapdeal at lowest de…,1
328,2,- 60% off on slick yellow plastic battery operated walkie talkie for kids 2 pcs in snapdeal at lowest…,1
329,0,so delhi is shining with office,1
330,-3,gurgaon is bloody lucky! delhites those who work in snapdeal are born lucky!,1
331,0,rt guys check coolness redefined,1
332,0,- 30% off on lee cooper brown formal shoes at snapdeal,1
333,0,- 27% off on celkon millennia q450 dual sim 4gb white at snapdeal,1
334,2,centre of attraction is here  new talk of town - gurgaon !,1
335,3,the pictures look so good! kudos to the entire  team!,1
336,0,adobe's rajiv mangla to take over as snapdeal's cto,0
337,0,a happening workplace ensures the employees are always enthusiastic!,1
338,3,"sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
339,3,guys you will be pleased to see the check it out,1
340,4,"rt eye-catching, classy interiors that seem to invite you over at the",1
341,0,everything is colourful and a visual treat in,1
342,3,tweeps its great to know that  has opened its new office in,1
343,0,guys in the capital of india! you have gotta check it out,0
344,0,"rt turn heads with the all-new and make an impression.
register now",1
345,3,it's such a warm welcome to employees in,0
346,0,awesome! truly awesome.,1
347,2,amazed by the looks and interiors of,1
348,5,snapdeal makes me want to shop more. they have an awesome collection of brands.,1
349,0,world class infrastructure at,1
350,3,is a beautifully planned office newly opened in gurgaon!,1
351,3,great place to work from,1
352,4,i spose even the employees wud get a gr8 kick out of this &amp; working wud be real fun in  now..,1
353,6,i am a loyal and happy snapdeal shopper. have never found shopping so convenient,1
354,0,rt making sense of flipkart’s and snapdeal’s valuations through their gmv,0
355,3,.  is one of d best of d workplace .,1
356,4,this looks amazing,1
357,3,yes i'm just loving the in guragaon! the new office of,1
358,6,happy with my product i got from snapdeal i love to shop from a wide range of products which are available here.,1
359,1,guys check a dream place for every employee,1
360,1,this is the big joinery starting for the snapdeal,1
361,10,i am a loyal and happy snapdeal shopper. found their customer support to be very good. one of the better ones i have experienced so far.,1
362,2,got amazed by the spectacular decoration at,1
363,7,i am a loyal and happy snapdeal shopper. it is very easy to shop from snapdeal.,1
364,7,"tweeps  has opened their new office in gurgaon, yes great place i would love to work with in",1
365,0,snapdeal snapdeal snapdeal,0
366,3,great designs,1
367,0,"lover ? 
f&amp;d a111u multimedia speaker at 50% off rs 1349 paytm here …",0
368,3,loved the office so much,1
369,1,a dream place for every employee,1
370,6,i am a loyal and happy snapdeal shopper. got my product very quickly from snapdeal.,1
371,2,meizu mx5 more than better register now  snapdeal,1
372,0,largest online marketplace  has all,0
373,0,"quick quiz.. an office in gurgaon with world class amenities and facilities..
.
.
.
.
.",1
374,5,superb infrastructure &amp; stylish decor makes  a class apart.,1
375,0,tweeps largest online marketplace  has all .,1
376,3,such a warm welcome to employees in,1
377,0,guys check coolness redefined,1
378,4,"did you check out the 
so fabulous n diserable to work in",0
379,0,infrastructure par excellence! world class place to be work at,1
380,6,the employees at are so lucky to have such a beautiful office,1
381,1,tweeps is a place where passion meets innovation,1
382,5,best working environment like the,1
383,2,congrats   guys  ... new  office  at ncr woohhooo,1
384,0,i am applying right now for a job in,0
385,0,this is certainly perfection personified place to work at,1
386,3,i'm working in the most beautiful office in the town of gurgaon!,1
387,0,"all incorporated here under one roof gym, spa, library and much more...",1
388,0,"snapdeal raises $500 million funding from alibaba group, foxconn and softbank",1
389,4,is surely the most awesome place to work in town!,1
390,-1,escape  to the,0
391,3,"has gym, spa and library! 
surely one of the best place to work in gurgaon",1
392,0,other online e-markets would soon copy,0
393,7,"has opened their new office in gurgaon, yes great place i would love to work with in",1
394,0,this is an amzing place to work from,1
395,6,superb infrastructure and at a cool place,1
396,0,really office looks amazing.,1
397,5,i wish to work in  amazing world class campus in gurgaon.,1
398,4,"a wonderful workplace 
at gurgaon to work in",1
399,3,probably the only workplace in india that matches excellence of international level.,1
400,0,32gb microsdhc evo class 10 is selling cheaper at inr 746 today,
401,3,is the new office in gurgaon! beautiful and colourful,
402,0,the coolest place to work in is the without a doubt!,
403,4,this is what one can call a awesome design.kudos for fab interiors,
404,10,"i would definitely love to work in a place like this, great interiors n positive vibes",
405,5,it's impressive welcome to employees at,
406,0,is trending now!!,
407,4,rt the  is just amazing,
408,0,"anything  does, trends india-wide on twitter?",
409,1,"guys gurgaon.
looks so cool.
i wish could work here !!",
410,1,the office pics  just blew me away i wish i could be one of the employees of,
411,4,the  is just amazing,
412,0,"if this is how snapdeal's new office looks, i only have one question - where &amp; how do i",
413,3,"best news ! 
 has opened new office in",
414,8,it is great shopping on snapdeal. fun time. have never found shopping so convenient its  fast and easy to use delivery is very accurate,
415,3,"guys so gorgeous, working over there would be a delight  at gurgaon",
416,-1,dont forget to  check out the,
417,-3,i am dead sure now  office wud be flooded wid job offers after their,
418,4,do check out the so fabulous,
419,2,"guys india's e-commerce site  's
has now an office in gurgaon!
welcome team",
420,3,"guys gurgaon is so lucky
 is here",
421,3,beautiful place to work on !!,
422,3,"a place which every employee will love to work in, the is astonishing!",
423,1,no doubt this is best place for work,
424,6,a work environment speaking of classy decor &amp; super infrastructure at,
425,2,the design of the new office is just aweosme .. loving it,
426,0,guys chk out the interiors.....here work would be fun!,
427,2,my dream place to work is  office i wanna join the too!,
428,0,adobe’s rajiv mangla to take over as snapdeal’s cto,
429,2,"online retailer snapdeal is in talks to hire rajiv mangla, a top adobe systems executive, as chief...",
430,0,india's one of the largest online market place new office at delhi ncr,
431,0,"wouuu this is really amazing..
wanna see it soon",
432,0,rt amazon transport is ridiculously pathetic. unable to deliver my oneplus 2 even on expected date.,
433,2,welcome team  you are just aweosme,
434,0,"do you know 
is constructed in the 4.5 lacs sqft. &amp; will house around 4500 employees",
435,0,food court &amp; medical centers are present within the campus.,
436,0,this is quality workplace,
437,3,this is completely heart warming! snapdeal has made its employees super happy!,
438,0,guys did you heard about the new office of,
439,0,cant wait to visit  office at gurgaon.  heard so much!,
440,3,rt a great place to work,
441,0,is not less than a surprise for all the shopaholics.,
442,6,has some great design and interiors. employees are gonna love this,
443,0,"the new world of our snapdeal is here
now in delhi ncr
new office",
444,4,"wonderful facilities for the employees as well 
 a lot's of things..",
445,11,"rt superb infrastructure &amp; beautiful interior one would love to have! 
   awesom…",
446,4,one word wow  place to work in is the without a doubt!,
447,0,is constructed in the 4.5 lacs sqft. &amp; will house around 4500 employees,
448,3,snapdeal is one of the best websites i have seen so far. have never found shopping so convenient,
449,3,all the best for the new beginnings,
450,7,"cool things, nice shopping on snapdeal. makes you smile. delivery made me happy",
451,4,buying on snapdeal is a smart choice. great offers and savings from snapdeal.,
452,3,its great to know that  has opened new office in,
453,3,you described it even more beautifully,
454,0,"everyone is dying to work with u in newly office.
its next gen e-commerce 
yo yo snapdea",
455,0,"rt quick quiz.. an office in gurgaon with world class amenities and facilities..
.
.
.
.
.",
456,-2,india's one of the largest online market place!! no doubt,
457,0,rajiv mangla to take over as snapdeal’s cto,
458,0,perfection personified place to work at,
459,3,great news,
460,2,"india's giant e-commerce site  's
has now an office in gurgaon!
welcome team",
461,4,rt yes! india's one of the largest online market place  is in gurgaon! looks awesome &amp; uniqu…,
462,14,"superb infrastructure &amp; beautiful interior one would love to have! 
   awesomeness at its best",
463,4,"see at interior furniture of snapdeal office
its just awesome",
464,1,"guys the coolest &amp; the awesomest place to work is  office

i wanna join the too!",
465,0,i have sent my resume plz just reply me,
466,3,rt and is trending in india.... kudos to team   takes a bow..,
467,4,wow! this is what we call a smart design.. kudos for fab interiors,
468,0,galaxy s4 gt i9500 16gb deep black is selling cheaper at inr 15999 today,
469,4,"wonderful place is the  gurgaon office 
 is here..",
470,3,it's simply awesome! i really loved this,
471,4,yes! india's one of the largest online market place  is in gurgaon! looks awesome &amp; unique!!,
472,3,ur from delhi na ur so lucky to have their office in ur place,
473,1,"the coolest &amp; the awesomest place to work is  office

i wanna join the too!",
474,-1,- 67% off on saffire remote controlled ferrari with opening doors in snapdeal at lowest deal price,
475,-1,- 36% off on toyhouse pink scooty 6v rechargeable battery operated ride-on in snapdeal at lowest deal…,
476,-1,- 38% off on toyhouse panda swing car in snapdeal at lowest deal price,
477,1,rt that feeling of numbness on completion of a massive project,
478,2,is not less than a heaven to work in.,
479,0,gurgaon is the new place where  gonna rock now !!,
480,5,i am dead sure now  office wud be flooded wid job offers after their wow what fun na..,
481,0,a new start to   in form of new office in gurgaon. have to say looks absolutely amazing.,
482,0,working at the is probably the coolest thing on earth right now!,
483,0,seriously mindblowing is the word for the,
484,10,"i would love to work in a place like this, great interiors n positive vibes",
485,1,the office pics of just blew me away i wish i could be one of the employees of,
486,10,this is awesome this is beautiful   big congratulations   guys,
487,4,"wonderful facilities for the employees as well games, cafe, and a lot's of things..",
488,0,"turn heads with the all-new and make an impression.
register now",
489,4,"look at interior furniture of snapdeal office
its just awesome guys",
490,4,amazing look of new snapdeal office at delhi ncr,
491,0,"the lighter side of free, as seen in  's campaign on",
492,4,all the arrangement are awesome now thts we are calling it compartable office,
493,7,the most amazing thing is that not only are the employees at  excited about but also others!,
494,3,is a place where we do our best to assist our customer better!,
495,6,has the best of design and interiors. employees are gonna love their working place for sure!,
496,0,making sense of flipkart’s and snapdeal’s valuations through their gmv,
497,6,"spa, library all at one place.. wow what coud be better than this! l'ovin the news of",
498,3,such a beautifully designed office ever,
499,3,"the pictures looks so wonderful!
kudos to the entire  team!",
500,4,one of the largest online market place  is in gurgaon! looks awesome &amp; unique!!,
501,0,snapdeal opening their new office in gurgaon !,
502,6,snapdeal is one of the best websites i have seen so far. delivery made me happy,
503,3,"loved this interior
 ,amazing !!",
504,3,such a beautifully designed office,
505,0,tvs-e mechanical keyboard usb keyboard is selling cheaper at inr 2016 today,
506,0,"lover ? 
f&amp;d a111u multimedia speaker at 50% off rs 1349  here 
rs 2079 
rs 2078",
507,0,just can't get my eyes off. the designs and interiors of the office is making me say wow.,
508,5,it has great work area space to sit serenely to work and plan effectively,
509,0,"just say wow.  
look at this",
510,3,it has great desk space to sit comfortably in order to work n plan  efficiently,
511,0,let me know how can i apply to work in snapdeal,
512,0,the gurgoan will be the ultimate place for the employees to work in,
513,3,their office is the perfect workplace  to their employees,
